row_id	pdf_page	block	row_in_block	h	k	l	Fcal2_raw	Fobs2_raw	sigma_Fobs2_raw	marker_raw	Fcal2_numeric	Fobs2_numeric	sigma_Fobs2_numeric	Fcal2_sign_status	Fobs2_sign_status
si-p01-L-r033	1	L	33	3	7	7	70711.67	77312.37	5597.27	o	70711.67	77312.37	5597.27	resolved	resolved
si-p01-L-r034	1	L	34	5	7	7	205489.69	190374.28	6782.38	o	205489.69	190374.28	6782.38	resolved	resolved
si-p01-L-r035	1	L	35	7	7	7	20618.29	8618.51	5473.92	o	20618.29	8618.51	5473.92	resolved	resolved
si-p01-L-r036	1	L	36	0	0	8	2831.58	5181.06	3540.07	o	2831.58	5181.06	3540.07	resolved	resolved
si-p01-L-r037	1	L	37	2	2	8	383429.06	394630.94	18474.78	o	383429.06	394630.94	18474.78	resolved	resolved
si-p01-L-r038	1	L	38	0	4	8	1144764.63	1269714.38	14632.97	o	1144764.63	1269714.38	14632.97	resolved	resolved
si-p01-L-r039	1	L	39	2	4	8	12625.73	12519.12	3540.94	o	12625.73	12519.12	3540.94	resolved	resolved
si-p01-L-r040	1	L	40	4	4	8	2167306	2189488	109291.23	o	2167306.0	2189488.0	109291.23	resolved	resolved
si-p01-R-r001	1	R	1	2	6	8	968684.56	934568.56	20714.74	o	968684.56	934568.56	20714.74	resolved	resolved
si-p01-R-r002	1	R	2	4	6	8	54616	59304.87	3788.67	o	54616.0	59304.87	3788.67	resolved	resolved
si-p01-R-r003	1	R	3	6	6	8	124994.52	109688.48	4658.19	o	124994.52	109688.48	4658.19	resolved	resolved
si-p01-R-r004	1	R	4	0	8	8	6293871.5	7644694.5	32910.57	o	6293871.5	7644694.5	32910.57	resolved	resolved
si-p01-R-r005	1	R	5	2	8	8	3882.68	16532.77	5239.26	o	3882.68	16532.77	5239.26	resolved	resolved
si-p01-R-r006	1	R	6	4	8	8	8305.03	14321.87	5589.02	o	8305.03	14321.87	5589.02	resolved	resolved
si-p01-R-r007	1	R	7	6	8	8	36308.02	58249.18	6407.41	o	36308.02	58249.18	6407.41	resolved	resolved
si-p01-R-r008	1	R	8	8	8	8	209083.84	220018.02	8529.64	o	209083.84	220018.02	8529.64	resolved	resolved
si-p01-R-r009	1	R	9	1	1	9	402321.44	432515	5781.17	o	402321.44	432515.0	5781.17	resolved	resolved
si-p01-R-r010	1	R	10	1	3	9	36779.91	43443.58	3707.84	o	36779.91	43443.58	3707.84	resolved	resolved
si-p01-R-r011	1	R	11	3	3	9	35755.84	41668.57	3665.72	o	35755.84	41668.57	3665.72	resolved	resolved
si-p01-R-r012	1	R	12	1	5	9	278057.5	277371	5377.69	o	278057.5	277371.0	5377.69	resolved	resolved
si-p01-R-r013	1	R	13	3	5	9	134437.19	111928.27	4201.29	o	134437.19	111928.27	4201.29	resolved	resolved
si-p01-R-r014	1	R	14	5	5	9	378.48	4598.57	3622.12	o	378.48	4598.57	3622.12	resolved	resolved
si-p01-R-r015	1	R	15	1	7	9	1039527.81	1063283.25	13797.42	o	1039527.81	1063283.25	13797.42	resolved	resolved
si-p01-R-r016	1	R	16	3	7	9	327848.5	339400.19	7207.67	o	327848.5	339400.19	7207.67	resolved	resolved
si-p01-R-r017	1	R	17	5	7	9	33785.16	35320.67	4036.34	o	33785.16	35320.67	4036.34	resolved	resolved
si-p01-R-r018	1	R	18	7	7	9	1593.95	9255.53	4116.13	o	1593.95	9255.53	4116.13	resolved	resolved
si-p01-R-r019	1	R	19	1	9	9	619248.94	603141.31	10835.58	o	619248.94	603141.31	10835.58	resolved	resolved
si-p01-R-r020	1	R	20	3	9	9	56126.68	70040.24	6409.67	o	56126.68	70040.24	6409.67	resolved	resolved
si-p01-R-r021	1	R	21	5	9	9	436064.75	445919.34	10206.52	o	436064.75	445919.34	10206.52	resolved	resolved
si-p01-R-r022	1	R	22	7	9	9	114565.7	111392.86	7348.43	o	114565.7	111392.86	7348.43	resolved	resolved
si-p01-R-r023	1	R	23	9	9	9	556129.13	605461.19	12095.13	o	556129.13	605461.19	12095.13	resolved	resolved
si-p01-R-r024	1	R	24	0	2	10	105877.99	122184.49	4166.94	o	105877.99	122184.49	4166.94	resolved	resolved
si-p01-R-r025	1	R	25	2	2	10	2171452	2154551	67846.28	o	2171452.0	2154551.0	67846.28	resolved	resolved
si-p01-R-r026	1	R	26	2	4	10	109364.88	125224.19	9977.71	o	109364.88	125224.19	9977.71	resolved	resolved
si-p01-R-r027	1	R	27	4	4	10	474471.25	441660.63	25219.46	o	474471.25	441660.63	25219.46	resolved	resolved
si-p01-R-r028	1	R	28	0	6	10	1314863.13	1335811.75	54094.69	o	1314863.13	1335811.75	54094.69	resolved	resolved
si-p01-R-r029	1	R	29	2	6	10	359779.44	394303.91	15186.52	o	359779.44	394303.91	15186.52	resolved	resolved
si-p01-R-r030	1	R	30	4	6	10	41229.42	43923.38	4284.12	o	41229.42	43923.38	4284.12	resolved	resolved
si-p01-R-r031	1	R	31	6	6	10	1362657.75	1333499	64071.95	o	1362657.75	1333499.0	64071.95	resolved	resolved
si-p01-R-r032	1	R	32	2	8	10	205188.25	190175.77	13965.26	o	205188.25	190175.77	13965.26	resolved	resolved
si-p01-R-r033	1	R	33	4	8	10	577.74	2329.56	8789.69	o	577.74	2329.56	8789.69	resolved	resolved
si-p01-R-r034	1	R	34	6	8	10	2165.53	6755.88	4278.44	o	2165.53	6755.88	4278.44	resolved	resolved
si-p01-R-r035	1	R	35	8	8	10	7594.65	107041.3	60836.11	o	7594.65	107041.3	60836.11	resolved	resolved
si-p01-R-r036	1	R	36	0	10	10	2179292.5	2414751.75	20760.64	o	2179292.5	2414751.75	20760.64	resolved	resolved
si-p01-R-r037	1	R	37	2	10	10	258655.64	284491	9003.62	o	258655.64	284491.0	9003.62	resolved	resolved
si-p01-R-r038	1	R	38	4	10	10	637.09	-2910.49	6170.24	o	637.09	-2910.49	6170.24	resolved	resolved
si-p01-R-r039	1	R	39	6	10	10	1433347.75	1425741.38	17260.79	o	1433347.75	1425741.38	17260.79	resolved	resolved
si-p01-R-r040	1	R	40	8	10	10	362714.72	341092.16	10768.87	o	362714.72	341092.16	10768.87	resolved	resolved
si-p02-L-r001	2	L	1	10	10	10	648959.69	595533.75	13158.37	o	648959.69	595533.75	13158.37	resolved	resolved
si-p02-L-r002	2	L	2	1	1	11	69017.3	64162.49	4037.22	o	69017.3	64162.49	4037.22	resolved	resolved
si-p02-L-r003	2	L	3	1	3	11	74267.63	75490.81	4163.07	o	74267.63	75490.81	4163.07	resolved	resolved
si-p02-L-r004	2	L	4	3	3	11	1201047.75	1188250.75	54616.08	o	1201047.75	1188250.75	54616.08	resolved	resolved
si-p02-L-r005	2	L	5	1	5	11	546934.38	556832.25	21653.34	o	546934.38	556832.25	21653.34	resolved	resolved
si-p02-L-r006	2	L	6	3	5	11	157637.34	157078.42	15355.86	o	157637.34	157078.42	15355.86	resolved	resolved
si-p02-L-r007	2	L	7	5	5	11	306612.66	293265.06	15395.78	o	306612.66	293265.06	15395.78	resolved	resolved
si-p02-L-r008	2	L	8	1	7	11	59323.6	34105.14	63168.15	o	59323.6	34105.14	63168.15	resolved	resolved
si-p02-L-r009	2	L	9	3	7	11	191552.08	197111.58	5737.09	o	191552.08	197111.58	5737.09	resolved	resolved
si-p02-L-r010	2	L	10	5	7	11	139985.63	158170.83	11611.82	o	139985.63	158170.83	11611.82	resolved	resolved
si-p02-L-r011	2	L	11	7	7	11	34636.63	40064.32	7571.51	o	34636.63	40064.32	7571.51	resolved	resolved
si-p02-L-r012	2	L	12	1	9	11	163515.55	171259.03	12374.75	o	163515.55	171259.03	12374.75	resolved	resolved
si-p02-L-r013	2	L	13	3	9	11	39978.97	51774.99	10950.66	o	39978.97	51774.99	10950.66	resolved	resolved
si-p02-L-r014	2	L	14	5	9	11	17462.77	30471.94	4691.41	o	17462.77	30471.94	4691.41	resolved	resolved
si-p02-L-r015	2	L	15	7	9	11	42777.28	55472.11	5766.51	o	42777.28	55472.11	5766.51	resolved	resolved
si-p02-L-r016	2	L	16	9	9	11	63121.21	65911.3	5887.43	o	63121.21	65911.3	5887.43	resolved	resolved
si-p02-L-r017	2	L	17	1	11	11	1843821.25	2003397.13	20235.13	o	1843821.25	2003397.13	20235.13	resolved	resolved
si-p02-L-r018	2	L	18	3	11	11	145666.02	154950.78	8400.95	o	145666.02	154950.78	8400.95	resolved	resolved
si-p02-L-r019	2	L	19	5	11	11	1088029.13	1121734.13	16443.9	o	1088029.13	1121734.13	16443.9	resolved	resolved
si-p02-L-r020	2	L	20	7	11	11	102.01	28289.73	7916.47	o	102.01	28289.73	7916.47	resolved	resolved
si-p02-L-r021	2	L	21	9	11	11	3.3	-7916.46	7916.45	o	3.3	-7916.46	7916.45	resolved	resolved
si-p02-L-r022	2	L	22	11	11	11	1890670.25	1904067.5	22417.63	o	1890670.25	1904067.5	22417.63	resolved	resolved
si-p02-L-r023	2	L	23	0	0	12	43689.72	54782.39	5534.74	o	43689.72	54782.39	5534.74	resolved	resolved
si-p02-L-r024	2	L	24	2	2	12	89198.26	83595.64	13294.91	o	89198.26	83595.64	13294.91	resolved	resolved
si-p02-L-r025	2	L	25	0	4	12	922136.44	877446.88	30146.92	o	922136.44	877446.88	30146.92	resolved	resolved
si-p02-L-r026	2	L	26	2	4	12	1079223.5	1024147.25	29989.64	o	1079223.5	1024147.25	29989.64	resolved	resolved
si-p02-L-r027	2	L	27	4	4	12	353605.66	381408.22	15817.76	o	353605.66	381408.22	15817.76	resolved	resolved
si-p02-L-r028	2	L	28	2	6	12	202793.2	190605.41	5616.23	o	202793.2	190605.41	5616.23	resolved	resolved
si-p02-L-r029	2	L	29	4	6	12	541828.75	536729.75	32961.09	o	541828.75	536729.75	32961.09	resolved	resolved
si-p02-L-r030	2	L	30	6	6	12	472.32	6354.56	4443.04	o	472.32	6354.56	4443.04	resolved	resolved
si-p02-L-r031	2	L	31	0	8	12	324664.22	339505.94	19431.03	o	324664.22	339505.94	19431.03	resolved	resolved
si-p02-L-r032	2	L	32	2	8	12	68054.94	61019.52	5067.95	o	68054.94	61019.52	5067.95	resolved	resolved
si-p02-L-r033	2	L	33	4	8	12	368237.59	353500.47	14932.11	o	368237.59	353500.47	14932.11	resolved	resolved
si-p02-L-r034	2	L	34	6	8	12	5339.04	12282.67	6869.26	o	5339.04	12282.67	6869.26	resolved	resolved
si-p02-L-r035	2	L	35	8	8	12	936839.56	991850.06	47624.11	o	936839.56	991850.06	47624.11	resolved	resolved
si-p02-L-r036	2	L	36	2	10	12	25367.23	25528.39	4981.83	o	25367.23	25528.39	4981.83	resolved	resolved
si-p02-L-r037	2	L	37	4	10	12	288065.72	281428.78	8126.37	o	288065.72	281428.78	8126.37	resolved	resolved
si-p02-L-r038	2	L	38	6	10	12	351367.44	370341.91	16557.82	o	351367.44	370341.91	16557.82	resolved	resolved
si-p02-L-r039	2	L	39	8	10	12	3610	13265.37	6810.82	o	3610.0	13265.37	6810.82	resolved	resolved
si-p02-L-r040	2	L	40	10	10	12	258442.38	251499.55	7805.66	o	258442.38	251499.55	7805.66	resolved	resolved
si-p02-L-r041	2	L	41	0	12	12	4649976.5	5337097.5	34100.09	o	4649976.5	5337097.5	34100.09	resolved	resolved
si-p02-L-r042	2	L	42	2	12	12	489653.69	474683.16	12426.87	o	489653.69	474683.16	12426.87	resolved	resolved
si-p02-L-r043	2	L	43	4	12	12	78655.88	61070.89	8624.51	o	78655.88	61070.89	8624.51	resolved	resolved
si-p02-L-r044	2	L	44	6	12	12	672816.44	640062.13	14098.29	o	672816.44	640062.13	14098.29	resolved	resolved
si-p02-L-r045	2	L	45	8	12	12	380043.63	343043.41	11933.98	o	380043.63	343043.41	11933.98	resolved	resolved
si-p02-R-r001	2	R	1	10	12	12	409062.72	357603.22	12871.84	o	409062.72	357603.22	12871.84	resolved	resolved
si-p02-R-r002	2	R	2	12	12	12	99351.95	116323.99	10839.81	o	99351.95	116323.99	10839.81	resolved	resolved
si-p02-R-r003	2	R	3	1	1	13	119962.98	132104.78	5032.69	o	119962.98	132104.78	5032.69	resolved	resolved
si-p02-R-r004	2	R	4	1	3	13	147158.11	132314.28	5075.68	o	147158.11	132314.28	5075.68	resolved	resolved
si-p02-R-r005	2	R	5	3	3	13	277339.22	259426.06	8774.27	o	277339.22	259426.06	8774.27	resolved	resolved
si-p02-R-r006	2	R	6	1	5	13	9253.42	8473.55	4361.35	o	9253.42	8473.55	4361.35	resolved	resolved
si-p02-R-r007	2	R	7	3	5	13	617124.13	628896	47702.39	o	617124.13	628896.0	47702.39	resolved	resolved
si-p02-R-r008	2	R	8	5	5	13	108507.81	95950.38	5358.46	o	108507.81	95950.38	5358.46	resolved	resolved
si-p02-R-r009	2	R	9	1	7	13	9711.05	25201.01	9780.71	o	9711.05	25201.01	9780.71	resolved	resolved
si-p02-R-r010	2	R	10	3	7	13	104.64	323.39	8731.4	o	104.64	323.39	8731.4	resolved	resolved
si-p02-R-r011	2	R	11	5	7	13	310289.91	316719.19	9241.66	o	310289.91	316719.19	9241.66	resolved	resolved
si-p02-R-r012	2	R	12	7	7	13	99503.38	114282.88	8686.1	o	99503.38	114282.88	8686.1	resolved	resolved
si-p02-R-r013	2	R	13	1	9	13	17612.17	23876.35	4938.5	o	17612.17	23876.35	4938.5	resolved	resolved
si-p02-R-r014	2	R	14	3	9	13	121724.2	132839.94	6061.31	o	121724.2	132839.94	6061.31	resolved	resolved
si-p02-R-r015	2	R	15	5	9	13	257407.95	248745.42	21093.32	o	257407.95	248745.42	21093.32	resolved	resolved
si-p02-R-r016	2	R	16	7	9	13	137121.67	140507.19	6556.81	o	137121.67	140507.19	6556.81	resolved	resolved
si-p02-R-r017	2	R	17	9	9	13	269.35	1181.53	5803.16	o	269.35	1181.53	5803.16	resolved	resolved
si-p02-R-r018	2	R	18	1	11	13	11436.12	15253.33	6869.82	o	11436.12	15253.33	6869.82	resolved	resolved
si-p02-R-r019	2	R	19	3	11	13	193945.03	186534.63	6971.91	o	193945.03	186534.63	6971.91	resolved	resolved
si-p02-R-r020	2	R	20	5	11	13	22002.03	18131.82	11179.58	o	22002.03	18131.82	11179.58	resolved	resolved
si-p02-R-r021	2	R	21	7	11	13	286916.47	268782.19	8015.72	o	286916.47	268782.19	8015.72	resolved	resolved
si-p02-R-r022	2	R	22	9	11	13	45351.4	38621.86	6465.52	o	45351.4	38621.86	6465.52	resolved	resolved
si-p02-R-r023	2	R	23	11	11	13	742.03	1483.02	6297.15	o	742.03	1483.02	6297.15	resolved	resolved
si-p02-R-r024	2	R	24	1	13	13	168098.91	161835.8	9917.84	o	168098.91	161835.8	9917.84	resolved	resolved
si-p02-R-r025	2	R	25	3	13	13	355180.91	338965.88	12047.44	o	355180.91	338965.88	12047.44	resolved	resolved
si-p02-R-r026	2	R	26	5	13	13	574165.63	588293.13	14308.57	o	574165.63	588293.13	14308.57	resolved	resolved
si-p02-R-r027	2	R	27	7	13	13	29127.35	25505	8851.05	o	29127.35	25505.0	8851.05	resolved	resolved
si-p02-R-r028	2	R	28	9	13	13	92252.16	3613.02	12820.39	o	92252.16	3613.02	12820.39	resolved	resolved
si-p02-R-r029	2	R	29	11	13	13	312832	284395.34	12502.18	o	312832.0	284395.34	12502.18	resolved	resolved
si-p02-R-r030	2	R	30	13	13	13	160688.69	160828.84	10846.33	o	160688.69	160828.84	10846.33	resolved	resolved
si-p02-R-r031	2	R	31	0	2	14	234620.92	224985.97	10344.51	o	234620.92	224985.97	10344.51	resolved	resolved
si-p02-R-r032	2	R	32	2	2	14	141372.5	144263.06	5446.2	o	141372.5	144263.06	5446.2	resolved	resolved
si-p02-R-r033	2	R	33	2	4	14	92731.01	83581.01	5194.14	o	92731.01	83581.01	5194.14	resolved	resolved
si-p02-R-r034	2	R	34	4	4	14	345219.97	337428.22	24057.01	o	345219.97	337428.22	24057.01	resolved	resolved
si-p02-R-r035	2	R	35	0	6	14	39188.49	47111.27	4900.61	o	39188.49	47111.27	4900.61	resolved	resolved
si-p02-R-r036	2	R	36	2	6	14	478009.22	510156.31	20586	o	478009.22	510156.31	20586.0	resolved	resolved
si-p02-R-r037	2	R	37	4	6	14	210250.97	239103.64	6435.55	o	210250.97	239103.64	6435.55	resolved	resolved
si-p02-R-r038	2	R	38	6	6	14	70616.98	67060.09	14043.23	o	70616.98	67060.09	14043.23	resolved	resolved
si-p02-R-r039	2	R	39	2	8	14	103226.23	105233.75	8978.15	o	103226.23	105233.75	8978.15	resolved	resolved
si-p02-R-r040	2	R	40	4	8	14	7.24	-4491.35	14377.68	o	7.24	-4491.35	14377.68	resolved	resolved
si-p02-R-r041	2	R	41	6	8	14	1155017	1176772.25	31473.83	o	1155017.0	1176772.25	31473.83	resolved	resolved
si-p02-R-r042	2	R	42	8	8	14	42.79	-302.17	5595.97	o	42.79	-302.17	5595.97	resolved	resolved
si-p02-R-r043	2	R	43	0	10	14	220881.55	225946.2	33225.34	o	220881.55	225946.2	33225.34	resolved	resolved
si-p02-R-r044	2	R	44	2	10	14	1014615.5	1039699.56	22494.73	o	1014615.5	1039699.56	22494.73	resolved	resolved
si-p02-R-r045	2	R	45	4	10	14	11376.23	9953.64	5596.85	o	11376.23	9953.64	5596.85	resolved	resolved
si-p03-L-r001	3	L	1	6	10	14	105381.38	111658.34	10725.76	o	105381.38	111658.34	10725.76	resolved	resolved
si-p03-L-r002	3	L	2	8	10	14	161440.83	150314.38	7176.92	o	161440.83	150314.38	7176.92	resolved	resolved
si-p03-L-r003	3	L	3	10	10	14	143244.86	147149.45	8980.23	o	143244.86	147149.45	8980.23	resolved	resolved
si-p03-L-r004	3	L	4	2	12	14	44175.73	42480.14	6132.74	o	44175.73	42480.14	6132.74	resolved	resolved
si-p03-L-r005	3	L	5	4	12	14	476686.25	449163.28	9277.28	o	476686.25	449163.28	9277.28	resolved	resolved
si-p03-L-r006	3	L	6	6	12	14	75324.49	77437.16	11419.98	o	75324.49	77437.16	11419.98	resolved	resolved
si-p03-L-r007	3	L	7	8	12	14	34571.34	28699.82	6543.76	o	34571.34	28699.82	6543.76	resolved	resolved
si-p03-L-r008	3	L	8	10	12	14	4325.08	5905.5	6709.07	o	4325.08	5905.5	6709.07	resolved	resolved
si-p03-L-r009	3	L	9	12	12	14	280790.78	254890.42	8792.51	o	280790.78	254890.42	8792.51	resolved	resolved
si-p03-L-r010	3	L	10	0	14	14	46520.77	58243.16	9202.42	o	46520.77	58243.16	9202.42	resolved	resolved
si-p03-L-r011	3	L	11	2	14	14	19872.96	33886.17	8966.44	o	19872.96	33886.17	8966.44	resolved	resolved
si-p03-L-r012	3	L	12	4	14	14	173392.61	173133.36	10966.67	o	173392.61	173133.36	10966.67	resolved	resolved
si-p03-L-r013	3	L	13	6	14	14	26622	29579.77	10131.65	o	26622.0	29579.77	10131.65	resolved	resolved
si-p03-L-r014	3	L	14	8	14	14	13351.63	7684.82	9198.5	o	13351.63	7684.82	9198.5	resolved	resolved
si-p03-L-r015	3	L	15	10	14	14	477913.81	470526.41	14396.7	o	477913.81	470526.41	14396.7	resolved	resolved
si-p03-L-r016	3	L	16	12	14	14	30138.62	20612.83	9665.9	o	30138.62	20612.83	9665.9	resolved	resolved
si-p03-L-r017	3	L	17	14	14	14	8902.15	28874.46	8732.2	o	8902.15	28874.46	8732.2	resolved	resolved
si-p03-L-r018	3	L	18	1	1	15	531971.38	484654.31	11095.85	o	531971.38	484654.31	11095.85	resolved	resolved
si-p03-L-r019	3	L	19	1	3	15	25139.31	19003.54	4734.77	o	25139.31	19003.54	4734.77	resolved	resolved
si-p03-L-r020	3	L	20	3	3	15	509515.38	541508.25	14257.32	o	509515.38	541508.25	14257.32	resolved	resolved
si-p03-L-r021	3	L	21	1	5	15	8409.57	13331.64	4857.53	o	8409.57	13331.64	4857.53	resolved	resolved
si-p03-L-r022	3	L	22	3	5	15	57282.38	62139.78	12059.8	o	57282.38	62139.78	12059.8	resolved	resolved
si-p03-L-r023	3	L	23	5	5	15	62378.19	59756.11	5643.68	o	62378.19	59756.11	5643.68	resolved	resolved
si-p03-L-r024	3	L	24	1	7	15	105688.63	116332.25	6059.56	o	105688.63	116332.25	6059.56	resolved	resolved
si-p03-L-r025	3	L	25	3	7	15	7473.12	16080.63	5996.2	o	7473.12	16080.63	5996.2	resolved	resolved
si-p03-L-r026	3	L	26	5	7	15	55546.83	54880.63	7107.13	o	55546.83	54880.63	7107.13	resolved	resolved
si-p03-L-r027	3	L	27	7	7	15	501558.75	495127.16	35692.3	o	501558.75	495127.16	35692.3	resolved	resolved
si-p03-L-r028	3	L	28	1	9	15	343942.78	325247.56	8022.24	o	343942.78	325247.56	8022.24	resolved	resolved
si-p03-L-r029	3	L	29	3	9	15	3530.78	-1552.61	10594.6	o	3530.78	-1552.61	10594.6	resolved	resolved
si-p03-L-r030	3	L	30	5	9	15	361310.97	375287.53	8436.47	o	361310.97	375287.53	8436.47	resolved	resolved
si-p03-L-r031	3	L	31	7	9	15	631833.25	626560.13	17959.09	o	631833.25	626560.13	17959.09	resolved	resolved
si-p03-L-r032	3	L	32	9	9	15	378949.44	353622.94	14153.79	o	378949.44	353622.94	14153.79	resolved	resolved
si-p03-L-r033	3	L	33	1	11	15	18913.26	33069.66	5928.55	o	18913.26	33069.66	5928.55	resolved	resolved
si-p03-L-r034	3	L	34	3	11	15	233302.39	234088.67	7800.09	o	233302.39	234088.67	7800.09	resolved	resolved
si-p03-L-r035	3	L	35	5	11	15	98270.93	102637.58	14162.7	o	98270.93	102637.58	14162.7	resolved	resolved
si-p03-L-r036	3	L	36	7	11	15	2532.13	6332.45	6294.07	o	2532.13	6332.45	6294.07	resolved	resolved
si-p03-L-r037	3	L	37	9	11	15	48889.25	54550.3	6792.06	o	48889.25	54550.3	6792.06	resolved	resolved
si-p03-L-r038	3	L	38	11	11	15	193988.39	221198.13	23861.01	o	193988.39	221198.13	23861.01	resolved	resolved
si-p03-L-r039	3	L	39	1	13	15	5081.37	17868.38	6419.81	o	5081.37	17868.38	6419.81	resolved	resolved
si-p03-L-r040	3	L	40	3	13	15	172945.56	189692.3	11841.75	o	172945.56	189692.3	11841.75	resolved	resolved
si-p03-L-r041	3	L	41	5	13	15	34697.09	37720.29	6833.98	o	34697.09	37720.29	6833.98	resolved	resolved
si-p03-L-r042	3	L	42	7	13	15	664.51	11664.63	6544.13	o	664.51	11664.63	6544.13	resolved	resolved
si-p03-L-r043	3	L	43	9	13	15	960.22	2773.04	6379.49	o	960.22	2773.04	6379.49	resolved	resolved
si-p03-L-r044	3	L	44	11	13	15	42001.35	39892.94	6751.9	o	42001.35	39892.94	6751.9	resolved	resolved
si-p03-L-r045	3	L	45	13	13	15	37515.7	45683.23	9084.27	o	37515.7	45683.23	9084.27	resolved	resolved
si-p03-R-r001	3	R	1	1	15	15	202821.38	201417.17	11552.9	o	202821.38	201417.17	11552.9	resolved	resolved
si-p03-R-r002	3	R	2	3	15	15	145638.31	141222.2	11311.77	o	145638.31	141222.2	11311.77	resolved	resolved
si-p03-R-r003	3	R	3	5	15	15	38939.66	41579.98	9317.64	o	38939.66	41579.98	9317.64	resolved	resolved
si-p03-R-r004	3	R	4	7	15	15	26455.16	21543.82	9199.79	o	26455.16	21543.82	9199.79	resolved	resolved
si-p03-R-r005	3	R	5	9	15	15	1969.21	-1164.21	8847.99	o	1969.21	-1164.21	8847.99	resolved	resolved
si-p03-R-r006	3	R	6	11	15	15	25319.25	36215.85	9432.42	o	25319.25	36215.85	9432.42	resolved	resolved
